學校名稱,縣市名稱,地址,電話,網址,longitude,latitude
國立臺北教育大學,[33]臺北市,臺北市大安區和平東路二段134號,(02)27321104,http://www.ntue.edu.tw,121.5416138,25.02235877
國立臺中教育大學,[19]臺中市,臺中市西區民生路140號,(04)22183199,http://www.ntcu.edu.tw,120.6692466,24.14378418
國立澎湖科技大學,[16]澎湖縣,澎湖縣馬公市六合路300號,(06)9264115,http://www.npu.edu.tw,119.5787151,23.57400438
國立勤益科技大學,[06]臺中市,臺中市太平區坪林里中山路二段57號,(04)23924505,http://www.ncut.edu.tw,120.7307829,24.14655808
國立體育大學,[03]桃園市,桃園市龜山區文化一路250號,(03)3283201,http://www.ntsu.edu.tw,121.3850832,25.03138658
國立臺北護理健康大學,[42]臺北市,臺北市北投區明德路365號,(02)28227101,http://www.ntunhs.edu.tw,121.5184457,25.11850417
國立高雄餐旅大學,[61]高雄市,高雄市小港區松和路1號,(07)8060505,https://www.nkuht.edu.tw/p/403-1000-18.php,120.369062,22.56571618
國立金門大學,[71]金門縣,金門縣金寧鄉大學路1號,(082)313300,http://www.nqu.edu.tw/cht/index.php,118.3196571,24.45003737
國立臺灣體育運動大學,[19]臺中市,臺中市北區雙十路一段16號,(04)22213108,https://www.ntus.edu.tw/cht/index.php,120.6848245,24.14904018
國立臺中科技大學,[19]臺中市,臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,120.6810044,24.14971717
國立臺北商業大學,[35]臺北市,臺北市中正區濟南路一段321號,(02)33222777,http://www.ntub.edu.tw,121.5229783,25.04189338
國立屏東大學,[13]屏東縣,屏東縣屏東市民生路4-18號,(08)7663800,http://www.nptu.edu.tw,120.5019708,22.66547598
國立高雄科技大學,[55]高雄市,高雄市三民區建工路415號,(07)3814526,http://www.nkust.edu.tw,120.3258494,22.65171058
國立臺灣戲曲學院,[40]臺北市,臺北市內湖區內湖路二段177號,(02)27962666,http://www.tcpa.edu.tw/,121.5842949,25.08245818
國立臺南護理專科學校,[21]臺南市,臺南市中西區民族路二段78號,(06)2110600,http://www.ntin.edu.tw,120.2046635,22.99567847
國立臺東專科學校,[14]臺東縣,臺東縣臺東市正氣北路889號,(089)226389,http://www.ntc.edu.tw,121.120855,22.75706538
東海大學,[19]臺中市,臺中市西屯區臺灣大道四段1727號,(04)23590121,https://www.thu.edu.tw/,120.5959572,24.18044257
輔仁大學,[01]新北市,新北市新莊區中正路510號,(02)29052000,http://www.fju.edu.tw,121.4298624,25.03635707
東吳大學,[41]臺北市,臺北市士林區臨溪路70號,(02)28819471,http://www.scu.edu.tw,121.5430007,25.09441578
中原大學,[03]桃園市,桃園市中壢區中北路200號,(03)2659999,http://www.cycu.edu.tw,121.2380225,24.95746137
淡江大學,[01]新北市,新北市淡水區英專路151號,(02)26215656,http://www.tku.edu.tw,121.4458821,25.17319067
中國文化大學,[41]臺北市,臺北市士林區華岡路55號,(02)28610511,http://www.pccu.edu.tw,121.5355769,25.13681507
逢甲大學,[19]臺中市,臺中市西屯區文華路100號,(04)24517250,http://www.fcu.edu.tw,120.6440276,24.17804768
靜宜大學,[06]臺中市,臺中市沙鹿區臺灣大道七段200號,(04)26328001,http://www.pu.edu.tw,120.5746164,24.22580268
長庚大學,[03]桃園市,桃園市龜山區文化一路259號,(03)2118800,http://www.cgu.edu.tw,121.3849584,25.03339057
元智大學,[03]桃園市,桃園市中壢區遠東路135號,(03)4638800,http://www.yzu.edu.tw,121.2608742,24.96995188
中華大學,[18]新竹市,新竹市香山區東香里五福路二段707號,(03)5374281~5,http://www.chu.edu.tw,120.9501156,24.75707377
大葉大學,[07]彰化縣,彰化縣大村鄉學府路168號,(04)8511888,http://www.dyu.edu.tw,120.5958195,24.00152217
華梵大學,[01]新北市,新北市石碇區華梵路1號,(02)26632102,http://www.hfu.edu.tw,121.6882302,24.98110558
義守大學,[12]高雄市,高雄市大樹區三和里學城路一段1號,(07)6577711,http://www.isu.edu.tw,120.4032497,22.72713918
世新大學,[38]臺北市,臺北市文山區木柵路一段17巷1號,(02)22368225,http://www.shu.edu.tw,121.5416319,24.98864528
銘傳大學,[41]臺北市,臺北市士林區中山北路五段250號,(02)28824564,http://www.mcu.edu.tw,121.5259286,25.08623707
實踐大學,[34]臺北市,臺北市中山區大直街70號,(02)25381111,https://www.usc.edu.tw/,121.5435161,25.08373908
朝陽科技大學,[06]臺中市,臺中市霧峰區吉峰東路168號,(04)23323000,http://www.cyut.edu.tw,120.7122505,24.06971738
高雄醫學大學,[55]高雄市,高雄市三民區十全一路100號,(07)3121101,http://www2.kmu.edu.tw,120.3076396,22.64539597
南華大學,[10]嘉義縣,嘉義縣大林鎮南華路一段55號,(05)3102100,http://www.nhu.edu.tw,120.4920203,23.57006757
真理大學,[01]新北市,新北市淡水區真理街32號,(02)26212121,http://www.au.edu.tw,121.4321658,25.17543368
大同大學,[34]臺北市,臺北市中山區中山北路三段40號,(02)21822928,http://www.ttu.edu.tw,121.5185112,25.06676118
南臺科技大學,[11]臺南市,臺南市永康區尚頂里南臺街1號,(06)2533131,http://www.stust.edu.tw,120.2219979,23.02146678
崑山科技大學,[11]臺南市,臺南市永康區崑大路195號,(06)2727175,http://www.ksu.edu.tw,120.2505234,22.99773187
嘉南藥理大學,[11]臺南市,臺南市仁德區二仁路一段60號,(06)2664911,http://www.cnu.edu.tw,120.223456,22.92265578
樹德科技大學,[12]高雄市,高雄市燕巢區橫山路59號,(07)6158000,http://www.stu.edu.tw,120.374052,22.76257628
慈濟大學,[15]花蓮縣,花蓮縣花蓮市中央路三段701號,(03)8565301,http://www.tcu.edu.tw,121.588705,23.99293787
臺北醫學大學,[32]臺北市,臺北市信義區吳興街250號,(02)27361661,http://www.tmu.edu.tw,121.5598713,25.02604127
中山醫學大學,[19]臺中市,臺中市南區建國北路一段110號,(04)24730022,http://www.csmu.edu.tw,120.6488061,24.12210837
龍華科技大學,[03]桃園市,桃園市龜山區萬壽路一段300號,(02)82093211,http://www.lhu.edu.tw/,121.3991567,25.01948942
輔英科技大學,[12]高雄市,高雄市大寮區進學路151號,(07)7811151,https://www.fy.edu.tw/,120.3869877,22.60194553
明新科技大學,[04]新竹縣,新竹縣新豐鄉新興路1號,(03)5593142,http://www.must.edu.tw,120.9886418,24.86385118
長榮大學,[11]臺南市,臺南市歸仁區長大路1號,(06)2785123,http://www.cjcu.edu.tw,120.2713141,22.90296998
弘光科技大學,[06]臺中市,臺中市沙鹿區臺灣大道六段1018號,(04)26318652,http://www.hk.edu.tw,120.5781762,24.21726547
中國醫藥大學,[19]臺中市,臺中市北屯區經貿路一段100號,(04)22053366,http://www.cmu.edu.tw,120.6586493,24.17860267
健行科技大學,[03]桃園市,桃園市中壢區健行路229號,(03)4581196,http://www.uch.edu.tw,121.2273233,24.94799357
正修科技大學,[12]高雄市,高雄市鳥松區澄清路840號,(07)7358800,http://www.csu.edu.tw/wSite/mp?mp=10001,120.3474402,22.65023058
萬能科技大學,[03]桃園市,桃園市中壢區萬能路1號,(03)4515811,http://www.vnu.edu.tw/,121.2293854,24.99014217
玄奘大學,[18]新竹市,新竹市香山區東香里玄奘路48號,(03)5302255,http://www.hcu.edu.tw,120.9407141,24.77434858
建國科技大學,[07]彰化縣,彰化縣彰化市介壽北路1號,(04)7111111,http://www.ctu.edu.tw,120.5478984,24.06603837
明志科技大學,[01]新北市,新北市泰山區貴子里工專路84號,(02)29089899,http://www.mcut.edu.tw/,121.4197361,25.04087998
台鋼科技大學,[12]高雄市,高雄市路竹區中山路1821號,(07)6077777,http://www.kyu.edu.tw,120.2613841,22.84121338
大仁科技大學,[13]屏東縣,屏東縣鹽埔鄉新二村維新路20號,(08)7624002~5,http://www.tajen.edu.tw,120.5395364,22.72669208
聖約翰科技大學,[01]新北市,新北市淡水區淡金路四段499號,(02)28013131#7011,https://www.sju.edu.tw/,121.4489429,25.22653308
嶺東科技大學,[19]臺中市,臺中市南屯區嶺東路1號,(04)23892088,http://www.ltu.edu.tw,120.607647,24.13701848
中國科技大學,[38]臺北市,臺北市文山區興隆路三段56號,(02)29313416,http://www.cute.edu.tw/,121.553392,25.00006658
中臺科技大學,[19]臺中市,臺中市北屯區廍子路666號,(04)22391647,http://www.ctust.edu.tw,120.7325081,24.17399598
亞洲大學,[06]臺中市,臺中市霧峰區柳豐路500號,(04)23323456,http://www.asia.edu.tw,120.684795,24.04614858
開南大學,[03]桃園市,桃園市蘆竹區開南路1號,(03)3412500,http://www.knu.edu.tw,121.2659972,25.01300347
佛光大學,[02]宜蘭縣,宜蘭縣礁溪鄉林美村林尾路160號,(03)9871000,http://www.fgu.edu.tw,121.7245402,24.81471238
台南應用科技大學,[11]臺南市,臺南市永康區中正路529號,(06)2532106,http://www.tut.edu.tw/,120.2364825,23.03942448
遠東科技大學,[11]臺南市,臺南市新市區中華路49號,(06)5979566,http://www.feu.edu.tw,120.2942727,23.06726378
元培醫事科技大學,[18]新竹市,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,120.9378054,24.77783437
景文科技大學,[01]新北市,新北市新店區安忠路99號,(02)82122000,http://www.just.edu.tw/,121.5080184,24.95217818
中華醫事科技大學,[11]臺南市,臺南市仁德區文華一街89號,(06)2674567,http://www.hwai.edu.tw,120.2410591,22.96089978
東南科技大學,[01]新北市,新北市深坑區北深路三段152號,(02)86625900,http://www.tnu.edu.tw/,121.6018698,25.00329598
德明財經科技大學,[40]臺北市,臺北市內湖區環山路一段56號,(02)26585801,http://www.takming.edu.tw,121.5627454,25.08669218
明道大學,[07]彰化縣,彰化縣埤頭鄉文化路369號,(04)8876660,http://www.mdu.edu.tw,120.4902926,23.86894408
南開科技大學,[08]南投縣,南投縣草屯鎮中正路568號,(049)2563489,http://www.nkut.edu.tw,120.6942681,23.97923307
中華科技大學,[39]臺北市,臺北市南港區研究院路三段245號,(02)27821862~4,http://www.cust.edu.tw/www/cust.html,121.6073004,25.03359168
僑光科技大學,[19]臺中市,臺中市西屯區僑光路100號,(04)27016855,http://www.ocu.edu.tw,120.6420972,24.18921577
育達科技大學,[05]苗栗縣,苗栗縣造橋鄉談文村學府路168號,(037)651188,http://www.ydu.edu.tw,120.8399844,24.64963767
美和科技大學,[13]屏東縣,屏東縣內埔鄉美和村屏光路23號,(08)7799821,https://www.meiho.edu.tw/,120.5569381,22.60311048
吳鳳科技大學,[10]嘉義縣,嘉義縣民雄鄉建國路二段117號,(05)2267125,http://www.wfu.edu.tw/,120.4330066,23.53661897
環球科技大學,[09]雲林縣,雲林縣斗六市嘉東里鎮南路1221號,(05)5370988,http://www.twu.edu.tw/,120.5530566,23.68036557
修平科技大學,[06]臺中市,臺中市大里區工業路11號,(04)24961100,http://www.hust.edu.tw/,120.7112107,24.09528118
長庚科技大學,[03]桃園市,桃園市龜山區文化一路261號,(03)2118999,http://www.cgust.edu.tw,121.3874968,25.02950728
臺北城市科技大學,[42]臺北市,臺北市北投區學園路2號,(02)28927154,https://www.tpcu.edu.tw/,121.4667467,25.13459978
敏實科技大學,[04]新竹縣,新竹縣芎林鄉大華路1號,(03)5927700,https://www.mitust.edu.tw/,121.0893641,24.77955927
醒吾科技大學,[01]新北市,新北市林口區粉寮路一段101號,(02)26015310,http://www.hwu.edu.tw,121.3951178,25.08034548
文藻外語大學,[55]高雄市,高雄市三民區民族一路900號,(07)3426031,http://www.wzu.edu.tw,120.3156819,22.67022068
華夏科技大學,[01]新北市,新北市中和區工專路111號,(02)89415100,http://www.hwh.edu.tw,121.5060476,24.97900658
慈濟科技大學,[15]花蓮縣,花蓮縣花蓮市建國路二段880號,(03)8572158,http://www.tcust.edu.tw,121.5621786,23.99675928
致理科技大學,[01]新北市,新北市板橋區文化路一段313號,(02)22576167,http://www.chihlee.edu.tw,121.4613493,25.02161407
康寧大學,[40]臺北市,臺北市內湖區康寧路三段75巷137號,(02)26321181,http://www.ukn.edu.tw/,121.606982,25.07548137
宏國德霖科技大學,[01]新北市,新北市土城區青雲路380巷1號,(02)22733567,http://www.hdut.edu.tw/,121.4558916,24.97306428
東方設計大學,[12]高雄市,高雄市湖內區東方路110號,(07)6932011,http://www.tf.edu.tw,120.2443013,22.87967477
崇右影藝科技大學,[17]基隆市,基隆市信義區義七路40號,(02)24237785,http://www.cufa.edu.tw/,121.7514838,25.13181982
台北海洋科技大學,[01]新北市,新北市淡水區濱海路三段150號,(02)28059999,http://www.tumt.edu.tw/app/home.php,121.4231777,25.19294948
亞東科技大學,[01]新北市,新北市板橋區四川路二段58號,(02)77388000,https://www.aeust.edu.tw/,121.450544,24.99519398
中信金融管理學院,[21]臺南市,臺南市安南區台江大道三段600號,(06)2873335,https://www.ctbc.edu.tw/,120.1604325,23.06398858
大漢技術學院,[15]花蓮縣,花蓮縣新城鄉大漢村樹人街1號,(03)8210888,http://www.dahan.edu.tw,121.6034966,24.03909118
南亞技術學院,[03]桃園市,桃園市中壢區中山東路三段414號,(03)4361070,http://www.nanya.edu.tw/home.aspx,121.2488621,24.93628463
黎明技術學院,[01]新北市,新北市泰山區泰林路三段22號,(02)29097811,http://www.lit.edu.tw,121.418015,25.06663977
德育護理健康學院,[17]基隆市,基隆市中山區復興路336號,(02)24372093,http://www.cku.edu.tw,121.7268793,25.14963317
大同技術學院,[20]嘉義市,嘉義市東區彌陀路253號,(05)2223124,http://www.ttc.edu.tw,120.462647,23.46947688
馬偕醫學院,[01]新北市,新北市三芝區中正路三段46號,(02)26360303,http://www.mmc.edu.tw,121.4940307,25.25179097
法鼓文理學院,[01]新北市,新北市金山區西湖里法鼓路700號,(02) 24980707,http://www.dila.edu.tw/,121.6115368,25.24453767
馬偕醫護管理專科學校,[42]臺北市,臺北市北投區聖景路92號,(02)28584180,http://www.mkc.edu.tw,121.4611814,25.12217118
仁德醫護管理專科學校,[05]苗栗縣,苗栗縣後龍鎮溪洲里7鄰砂崙湖79之9號,(037)728855,http://www.jente.edu.tw,120.7558814,24.62507119
樹人醫護管理專科學校,[12]高雄市,高雄市路竹區環球路452號,(07)6979333,http://www.szmc.edu.tw,120.2597346,22.88277222
慈惠醫護管理專科學校,[13]屏東縣,屏東縣南州鄉三民路367號,(08)8647367,http://www.tzuhui.edu.tw,120.4868524,22.48607097
耕莘健康管理專科學校,[01]新北市,新北市新店區民族路112號,(02)22191131,http://www.ctcn.edu.tw,121.5358072,24.97721958
敏惠醫護管理專科學校,[11]臺南市,臺南市柳營區中山東路二段1116號,(06)6226111,https://www.mhchcm.edu.tw/,120.3274175,23.27986698
育英醫護管理專科學校,[55]高雄市,高雄市三民區大昌二路420巷15號,(07)3811765,http://www.yuhing.edu.tw/releaseRedirect.do?unitID=1&pageID=95,120.3297952,22.64981908
聖母醫護管理專科學校,[02]宜蘭縣,宜蘭縣三星鄉三星路二段265巷100號,(03)9897396,http://www.smc.edu.tw/,121.7008073,24.66517017
新生醫護管理專科學校,[03]桃園市,桃園市龍潭區中豐路高平段418號,(03)4117578,http://www.web.hsc.edu.tw/bin/home.php,121.2061409,24.83198817
崇仁醫護管理專科學校,[10]嘉義縣,[622]嘉義縣大林鎮湖北里大湖1之10號,(05)2658880,http://www.cjc.edu.tw,120.4564979,23.61980238
臺北市立大學,[35]臺北市,臺北市中正區愛國西路1號,(02)23113040,http://www.uTaipei.edu.tw,121.5117204,25.03560427
,,,,,,
